Player,Club,Behinds,Behinds,Goal assists,Goal assists,Goal acc %,Matches,Time On Ground %
,,TOT,AVG,TOT,AVG,TOT,TOT,TOT
1 Erin Phillips,ADEL,8,1,4,0.5,38.5,8,97.9
2 Daisy Pearce,MELB,1,0.1,5,0.7,25,7,89.4
2 Karen Paxman,MELB,1,0.1,0,0,50,7,93.1
2 Emma Kearney,WB,4,0.6,4,0.6,0,7,93.3
2 Ellie Blackburn,WB,12,1.7,0,0,28.6,7,95.5
2 Elise O'Dea,MELB,1,0.1,4,0.6,25,7,80.3
7 Ebony Marinoff,ADEL,2,0.3,1,0.1,0,8,80.1
7 Emily Bates,BL,1,0.1,3,0.4,25,8,74.4
9 Dana Hooker,FRE,1,0.1,0,0,0,7,91.1
10 Brianna Davey,CARL,0,0,0,0,33.3,6,94.7
11 Chelsea Randall,ADEL,2,0.3,1,0.1,28.6,8,97.1
12 Lily Mithen,MELB,2,0.3,1,0.1,0,7,79.7
12 Lara Filocamo,FRE,2,0.3,0,0,33.3,7,82.2
14 Kara Donnellan,FRE,0,0,3,0.5,100,6,90.5
15 Jess Dal Pos,GWS,0,0,1,0.1,100,7,91.4
16 Sabrina Frederick-Traub,BL,4,0.5,4,0.5,35.3,8,98.7
16 Emma Zielke,BL,0,0,1,0.1,60,8,79.8
18 Hannah Scott,WB,0,0,1,0.1,100,7,92.7
19 Megan Hunt,BL,0,0,1,0.1,0,8,73.7
20 Lauren Arnell,CARL,2,0.3,1,0.1,33.3,7,73.1
20 Mel Hickey,MELB,0,0,1,0.1,50,7,90.4
22 Emma Swanson,GWS,1,0.2,1,0.2,0,5,75.7
23 Alicia Eva,COLL,1,0.1,0,0,75,7,84.9
23 Catherine Phillips,MELB,2,0.3,0,0,62.5,7,90.4
25 Samantha Virgo,BL,0,0,0,0,0,8,96.5
25 Angela Foley,ADEL,0,0,0,0,33.3,8,80.9
27 Nicola Barr,GWS,0,0,2,0.3,0,7,84.5
27 Jasmine Grierson,MELB,0,0,0,0,50,7,80.8
27 Sarah D'Arcy,COLL,4,0.6,1,0.1,28.6,7,85.2
30 Kaitlyn Ashmore,BL,4,0.5,4,0.5,22.2,8,78.4
30 Jamie Stanton,BL,0,0,0,0,0,8,66.2
30 Deni Varnhagen,ADEL,0,0,0,0,40,8,69.4
30 Brittany Gibson,BL,3,0.4,0,0,33.3,8,78.3
34 Rebecca Beeson,GWS,2,0.3,0,0,37.5,7,86.9
34 Tilly Lucas-Rodd,CARL,1,0.1,1,0.1,0,7,61.9
36 Abbey Holmes,ADEL,2,0.3,2,0.3,40,8,64.5
37 Kirby Bentley,FRE,1,0.1,0,0,50,7,89.3
37 Britt Tully,GWS,2,0.3,0,0,0,7,62.5
39 Ebony Antonio,FRE,1,0.2,2,0.3,66.7,6,96.9
40 Courtney Cramey,ADEL,2,0.3,1,0.1,0,8,68.5
Meg Hutchins,COLL,0,0,0,0,0,7,88.5
41 Ashleigh Guest,GWS,0,0,1,0.1,0,7,79.5
41 Stephanie Chiocci,COLL,2,0.3,2,0.3,33.3,7,82.5
41 Nicole Callinan,WB,0,0,1,0.1,0,7,73.5
41 Alex Williams,GWS,1,0.1,1,0.1,0,7,88.6
41 Nicola Stevens,COLL,0,0,0,0,0,7,94.6
41 Gabby O'Sullivan,FRE,5,0.7,3,0.4,14.3,7,82.4
48 Sarah Perkins,ADEL,8,1,2,0.3,44,8,92.7
48 Kate Lutkins,BL,0,0,1,0.1,50,8,79.2
48 Dayna Cox,ADEL,0,0,0,0,0,8,75.8
51 Belinda Smith,FRE,0,0,1,0.1,0,7,61.8
51 Amelia Barden,COLL,1,0.1,0,0,0,7,69.5
53 Georgia Bevan,ADEL,1,0.1,0,0,50,8,65.3
54 Shelley Scott,MELB,2,0.3,2,0.3,62.5,6,88.3
55 Laura Duryea,MELB,0,0,0,0,0,7,94.6
56 Danielle Hardiman,CARL,0,0,0,0,0,6,88.1
57 Brittany Bonnici,COLL,0,0,0,0,0,7,53.5
57 Brooke Lochland,WB,2,0.3,0,0,25,7,79.8
57 Bianca Jakobsson,CARL,3,0.4,2,0.3,40,7,90.5
57 Sarah Lampard,MELB,1,0.1,1,0.1,0,7,75.1
 Katie Loynes,CARL,0,0,3,0.4,100,7,73.9
57 Shae Audley,CARL,1,0.1,1,0.1,66.7,7,66.1
57 Sarah Hosking,CARL,0,0,0,0,66.7,7,83.3
