Player,Club,Clearances,Clearances,Centre clr,Centre clr,Stoppages,Stoppages,Rebound50,Rebound50,Frees For,Frees For,Frees Agst,Frees Agst,Tackles,Tackles,One %s,One %s,Bounces,Bounces,Inside50,Inside50,Goals,Goals
,,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG
1 Erin Phillips,ADEL,40,5,11,1.4,29,3.6,3,0.4,27,3.4,8,1,30,3.8,6,0.8,2,0.3,37,4.6,10,1.3
2 Daisy Pearce,MELB,24,3.4,11,1.6,13,1.9,7,1,4,0.6,5,0.7,36,5.1,11,1.6,2,0.3,20,2.9,1,0.1
3 Karen Paxman,MELB,23,3.3,3,0.4,20,2.9,17,2.4,7,1,6,0.9,23,3.3,13,1.9,3,0.4,14,2,2,0.3
4 Emma Kearney,WB,36,5.1,15,2.1,21,3,15,2.1,11,1.6,8,1.1,20,2.9,2,0.3,13,1.9,38,5.4,0,0
5 Ellie Blackburn,WB,24,3.4,4,0.6,20,2.9,14,2,7,1,8,1.1,26,3.7,7,1,2,0.3,25,3.6,6,0.9
6 Elise O'Dea,MELB,19,2.7,5,0.7,14,2,7,1,6,0.9,10,1.4,32,4.6,4,0.6,0,0,20,2.9,1,0.1
7 Ebony Marinoff,ADEL,25,3.1,8,1,17,2.1,11,1.4,8,1,16,2,76,9.5,4,0.5,0,0,30,3.8,0,0
8 Emily Bates,BL,17,2.1,4,0.5,13,1.6,14,1.8,12,1.5,9,1.1,38,4.8,9,1.1,4,0.5,14,1.8,1,0.1
9 Dana Hooker,FRE,19,2.7,5,0.7,14,2,7,1,5,0.7,5,0.7,23,3.3,7,1,0,0,16,2.3,0,0
10 Brianna Davey,CARL,8,1.3,1,0.2,7,1.2,23,3.8,2,0.3,9,1.5,17,2.8,8,1.3,7,1.2,10,1.7,1,0.2
11 Chelsea Randall,ADEL,13,1.6,4,0.5,9,1.1,15,1.9,11,1.4,9,1.1,39,4.9,24,3,2,0.3,24,3,2,0.3
11 Lily Mithen,MELB,17,2.4,6,0.9,11,1.6,7,1,16,2.3,5,0.7,19,2.7,5,0.7,2,0.3,12,1.7,0,0
13 Lara Filocamo,FRE,21,3,9,1.3,12,1.7,3,0.4,9,1.3,5,0.7,31,4.4,3,0.4,1,0.1,9,1.3,1,0.1
14 Kara Donnellan,FRE,25,4.2,6,1,19,3.2,9,1.5,9,1.5,8,1.3,40,6.7,7,1.2,4,0.7,19,3.2,4,0.7
15 Jess Dal Pos,GWS,29,4.1,12,1.7,17,2.4,9,1.3,7,1,3,0.4,49,7,4,0.6,0,0,12,1.7,1,0.1
16 Sabrina Frederick-Traub,BL,6,0.8,3,0.4,3,0.4,1,0.1,12,1.5,5,0.6,15,1.9,6,0.8,3,0.4,22,2.8,6,0.8
17 Emma Zielke,BL,20,2.5,7,0.9,13,1.6,9,1.1,13,1.6,3,0.4,41,5.1,7,0.9,0,0,11,1.4,3,0.4
18 Hannah Scott,WB,3,0.4,0,0,3,0.4,23,3.3,4,0.6,8,1.1,23,3.3,22,3.1,1,0.1,18,2.6,1,0.1
18 Megan Hunt,BL,13,1.6,3,0.4,10,1.3,7,0.9,8,1,13,1.6,32,4,5,0.6,3,0.4,6,0.8,0,0
20 Lauren Arnell,CARL,16,2.3,4,0.6,12,1.7,6,0.9,6,0.9,3,0.4,26,3.7,5,0.7,0,0,19,2.7,2,0.3
21 Mel Hickey,MELB,7,1,2,0.3,5,0.7,6,0.9,4,0.6,6,0.9,26,3.7,18,2.6,0,0,10,1.4,1,0.1
22 Emma Swanson,GWS,21,4.2,5,1,16,3.2,13,2.6,6,1.2,5,1,14,2.8,1,0.2,0,0,8,1.6,0,0
23 Alicia Eva,COLL,11,1.6,3,0.4,8,1.1,9,1.3,7,1,5,0.7,32,4.6,7,1,2,0.3,11,1.6,3,0.4
23 Catherine Phillips,MELB,4,0.6,1,0.1,3,0.4,6,0.9,4,0.6,10,1.4,13,1.9,5,0.7,1,0.1,13,1.9,5,0.7
25 Nicola Barr,GWS,9,1.3,2,0.3,7,1,17,2.4,9,1.3,3,0.4,22,3.1,5,0.7,2,0.3,8,1.1,0,0
25 Angela Foley,ADEL,3,0.4,0,0,3,0.4,9,1.1,8,1,7,0.9,15,1.9,4,0.5,0,0,11,1.4,1,0.1
25 Samantha Virgo,BL,1,0.1,0,0,1,0.1,14,1.8,8,1,6,0.8,24,3,10,1.3,0,0,4,0.5,0,0
28 Jasmine Grierson,MELB,4,0.6,1,0.1,3,0.4,9,1.3,5,0.7,4,0.6,13,1.9,7,1,0,0,6,0.9,1,0.1
29 Sarah D'Arcy,COLL,7,1,2,0.3,5,0.7,1,0.1,11,1.6,2,0.3,12,1.7,5,0.7,1,0.1,9,1.3,2,0.3
30 Kaitlyn Ashmore,BL,4,0.5,0,0,4,0.5,7,0.9,8,1,5,0.6,12,1.5,7,0.9,2,0.3,23,2.9,2,0.3
31 Jamie Stanton,BL,6,0.8,1,0.1,5,0.6,10,1.3,4,0.5,5,0.6,23,2.9,6,0.8,0,0,8,1,0,0
31 Deni Varnhagen,ADEL,8,1,2,0.3,6,0.8,9,1.1,4,0.5,4,0.5,14,1.8,10,1.3,1,0.1,16,2,2,0.3
33 Brittany Gibson,BL,14,1.8,4,0.5,10,1.3,6,0.8,5,0.6,8,1,19,2.4,5,0.6,4,0.5,15,1.9,2,0.3
33 Rebecca Beeson,GWS,2,0.3,0,0,2,0.3,5,0.7,6,0.9,8,1.1,15,2.1,5,0.7,0,0,8,1.1,3,0.4
33 Abbey Holmes,ADEL,5,0.6,1,0.1,4,0.5,2,0.3,8,1,2,0.3,16,2,5,0.6,0,0,12,1.5,2,0.3
33 Tilly Lucas-Rodd,CARL,5,0.7,1,0.1,4,0.6,6,0.9,1,0.1,3,0.4,18,2.6,5,0.7,0,0,9,1.3,0,0
37 Britt Tully,GWS,22,3.1,7,1,15,2.1,8,1.1,3,0.4,3,0.4,28,4,4,0.6,0,0,11,1.6,0,0
37 Kirby Bentley,FRE,4,0.6,0,0,4,0.6,10,1.4,6,0.9,6,0.9,4,0.6,7,1,4,0.6,8,1.1,1,0.1
39 Ebony Antonio,FRE,9,1.5,5,0.8,4,0.7,10,1.7,7,1.2,2,0.3,27,4.5,6,1,1,0.2,11,1.8,2,0.3
39 Meg Hutchins,COLL,1,0.1,0,0,1,0.1,23,3.3,5,0.7,1,0.1,8,1.1,12,1.7,2,0.3,7,1,0,0
39 Courtney Cramey,ADEL,9,1.1,3,0.4,6,0.8,22,2.8,13,1.6,3,0.4,19,2.4,6,0.8,0,0,7,0.9,0,0
42 Ashleigh Guest,GWS,14,2,6,0.9,8,1.1,7,1,7,1,4,0.6,29,4.1,1,0.1,1,0.1,10,1.4,0,0
42 Nicole Callinan,WB,6,0.9,2,0.3,4,0.6,8,1.1,3,0.4,4,0.6,14,2,13,1.9,2,0.3,6,0.9,0,0
42 Stephanie Chiocci,COLL,11,1.6,4,0.6,7,1,3,0.4,8,1.1,11,1.6,21,3,3,0.4,0,0,10,1.4,1,0.1
45 Sarah Perkins,ADEL,2,0.3,0,0,2,0.3,0,0,7,0.9,5,0.6,24,3,7,0.9,0,0,11,1.4,11,1.4
45 Nicola Stevens,COLL,2,0.3,0,0,2,0.3,10,1.4,7,1,6,0.9,22,3.1,17,2.4,0,0,4,0.6,0,0
45 Alex Williams,GWS,4,0.6,0,0,4,0.6,14,2,8,1.1,1,0.1,21,3,14,2,1,0.1,2,0.3,0,0
45 Gabby O'Sullivan,FRE,12,1.7,2,0.3,10,1.4,4,0.6,1,0.1,6,0.9,31,4.4,2,0.3,0,0,10,1.4,1,0.1
49 Kate Lutkins,BL,4,0.5,0,0,4,0.5,13,1.6,10,1.3,6,0.8,17,2.1,15,1.9,3,0.4,13,1.6,1,0.1
49 Dayna Cox,ADEL,4,0.5,0,0,4,0.5,8,1,5,0.6,4,0.5,16,2,7,0.9,0,0,5,0.6,0,0
49 Belinda Smith,FRE,2,0.3,0,0,2,0.3,13,1.9,3,0.4,1,0.1,16,2.3,5,0.7,2,0.3,8,1.1,0,0
52 Shelley Scott,MELB,7,1.2,1,0.2,6,1,0,0,4,0.7,4,0.7,13,2.2,6,1,2,0.3,11,1.8,5,0.8
52 Amelia Barden,COLL,17,2.4,5,0.7,12,1.7,8,1.1,9,1.3,5,0.7,39,5.6,2,0.3,2,0.3,11,1.6,0,0
52 Georgia Bevan,ADEL,3,0.4,0,0,3,0.4,5,0.6,8,1,1,0.1,25,3.1,5,0.6,0,0,19,2.4,1,0.1
55 Brooke Lochland,WB,15,2.1,5,0.7,10,1.4,5,0.7,7,1,8,1.1,32,4.6,6,0.9,2,0.3,7,1,1,0.1
55 Danielle Hardiman,CARL,0,0,0,0,0,0,21,3.5,2,0.3,2,0.3,15,2.5,6,1,2,0.3,0,0,0,0
55 Brittany Bonnici,COLL,8,1.1,1,0.1,7,1,3,0.4,6,0.9,5,0.7,32,4.6,7,1,1,0.1,5,0.7,0,0
55 Laura Duryea,MELB,2,0.3,0,0,2,0.3,16,2.3,2,0.3,7,1,11,1.6,19,2.7,0,0,2,0.3,0,0
59 Sarah Hosking,CARL,8,1.1,2,0.3,6,0.9,7,1,8,1.1,7,1,17,2.4,12,1.7,3,0.4,9,1.3,2,0.3
